,Season,Episode,Character,Line,prob
0,10,1,Stan,you guys you guys chef is going away ,0.09814747609198093
1,10,1,Kyle,going away for how long,0.07314489921554923
2,10,1,Stan,forever,0.1331996638327837
3,10,1,Chef,im sorry boys,0.2378646284341812
4,10,1,Stan,chef said hes been bored so he joining a group called the super adventure club ,0.07915051537565887
5,10,1,Chef,wow,0.18128909869119525
6,10,1,Mrs. Garrison,chef what kind of questions do you think adventuring around the world is gonna answer,0.06541165639646351
7,10,1,Chef,whats the meaning of life why are we here,0.20336902234703302
8,10,1,Mrs. Garrison,i hope youre making the right choice,0.1268685096874833
9,10,1,Cartman,im gonna miss him  im gonna miss chef and iand i dont know how to tell him ,0.06716083153150976
10,10,1,Stan,dude how are we gonna go on chef was our ffffriend ,0.09805150330066681
11,10,1,Mayor McDaniels,and we will all miss you chef  but we know you must do what your heart tells you,0.07209404138848186
12,10,1,Jimbo,byebye,0.09701248491182923
13,10,1,Gerald,goodbye,0.07680254057049751
14,10,1,Mr. Mackey,so long,0.07927747792564332
15,10,1,A Man,so long chef,0.06751447799615562
16,10,1,A Sign-Holder,goodbye chef,0.07023544167168438
17,10,1,Randy,goodbye chef have a great time with the super adventure club,0.06332500488497317
18,10,1,Chef,goodbye ,0.06750362808816135
19,10,1,Kyle,draw two card fatass,97.75106310844421
20,10,1,Cartman,reverse to you jew ,98.41312766075134
21,10,1,Stan,ill get it ,0.5051715765148401
22,10,1,Chef,hello there children,0.1347177429124713
23,10,1,Stan,hes back,0.17463071271777153
24,10,1,Kyle,yeah,0.23757591843605042
25,10,1,Cartman,all right ,0.20861162338405848
26,10,1,Kyle,chef i cant believe youre back,0.13388933148235083
27,10,1,Chef,well its true,0.25558797642588615
28,10,1,Stan,but are you back for good,0.20133224315941334
29,10,1,Chef,thats right,0.3204944543540478
30,10,1,Mrs. Garrison,hey everybody chefs back,0.07695236126892269
31,10,1,Patrons,what all right yeah ,0.09615944582037628
32,10,1,Randy,oh finally ,0.08018302614800632
33,10,1,Gerald,wow it seems like you had a great time with the super adventure club chef they sound like really interesting people,0.06957974983379245
34,10,1,Chef,yeah,0.23757591843605042
35,10,1,Mrs. Garrison,but now that youre back here does that mean that youre not in the super adventure club anymore,0.08079615654423833
36,10,1,Chef,nnono,0.2161106327548623
37,10,1,Randy,ohhh so have you decided you can still belong to the super adventure club but live here in south park again,0.0622368766926229
38,10,1,Chef,thats right,0.3204944543540478
39,10,1,Randy,well it seems like the super adventure club was just what you needed chef you must be feeling very happy that you found a club to belong to with new friends but that you can also live here in south park with all your old friends whom you care for deeply  right,0.0702379911672324
40,10,1,Chef,thats right randy ,1.8203943967819214
41,10,1,Jimbo,well chef youre welcome to stay with me until you buy another house,0.06341994740068913
42,10,1,Chef,thank you jimbo,0.07400470203720033
43,10,1,Randy,well come on everybody im sure chef would like a little time to get moved back in,0.05851926398463547
44,10,1,Chef,thats right thank you goodbye everybody,0.0812349608168006
45,10,1,Townsfolk,later great to have you back byebye see ya chef see you later byebye,0.061186926905065775
46,10,1,Kyle,well i guess well see you in school tomorrow chef,0.059365498600527644
47,10,1,Chef,you bet goodbye children ,0.09481257293373346
48,10,1,Stan,right  see ya,0.16464736545458436
49,10,1,Cartman, guys did chef seem a little  trippy to you,0.7952400483191013
50,10,1,Stan,well look he said hes happier now maybe he just needs to rest up a little,0.07029547123238444
51,10,1,Kyle,yeah im sure whatever that super adventure club does is pretty tiring,31.151923537254333
52,10,1,Stan,yeah but whatever im just glad hes back for good,0.09617011528462172
53,10,1,Kenny,yeah me too,0.18243828089907765
54,10,1,A Boy,its really weird what he said i dont know it kind of confused me,0.08114490774460137
55,10,1,Cartman,oh boy oh boy i cant wait to have chefs lunch food again,0.06115144933573902
56,10,1,Kyle,yeah i hope he makes his salisbury steak with buttered noodles ,0.23934347555041313
57,10,1,Clyde,you guys you guys,1.4673578552901745
58,10,1,Stan,what,0.4976789001375437
59,10,1,Clyde,somethings wrong with chef hes saying some really weird stuff,1.7226211726665497
60,10,1,Kyle,like what,0.47558676451444626
61,10,1,Clyde,i think  i think he wants to have sex with me,33.375537395477295
62,10,1,Stan,what,0.4976789001375437
63,10,1,Clyde,i gotta i gotta go ,0.1283825607970357
64,10,1,Kyle,weirdo ,5.240578576922417
65,10,1,Chef,hello there children,0.1347177429124713
66,10,1,The Boys,hey chef,0.19004426430910826
67,10,1,Chef,hows it goin,2.048158086836338
68,10,1,Kyle,good,0.24838617537170649
69,10,1,Chef,well how about i meet you boys after work and we make love,0.09134601568803191
70,10,1,Cartman,excuse me,0.23796786554157734
71,10,1,Chef,come on children youre my sexual fantasy lets all make sweet love,0.15649565029889345
72,10,1,Kyle,chef aare you okay,0.16311280196532607
73,10,1,Chef,i want to stick my balls inside your rect kyle,98.41354489326477
74,10,1,Stan,dude what are you saying,21.469905972480774
75,10,1,Chef,im gonna make love to your asshole children,98.15288782119751
76,10,1,Stan,what,0.4976789001375437
77,10,1,Det. Jarvis,hi kids im detective jarvis i need to ask you all some difficult questions about your school cafeteria chef,0.10675356024876237
78,10,1,Kyle,this doesnt make any sense,0.2728692255914211
79,10,1,Det. Jarvis,we have some information that all this time chef has been and still is a pedophile,97.11245894432068
80,10,1,Stan,no hes not,0.834446307271719
81,10,1,Det. Jarvis, h,0.2505076117813587
82,10,1,Stan,no hes not,0.834446307271719
83,10,1,Det. Jarvis,yeah yeah he is so,0.16169208101928234
84,10,1,Butters,whats a pedophile,98.6637830734253
85,10,1,Det. Jarvis,now we need some testimony in order to arrest chef  so im gonna use this doll to ask you kids a few questions did chef ever touch any of you here ,0.5842646583914757
86,10,1,Stan,no,0.24813299532979727
87,10,1,Det. Jarvis,okay did he touch you here ,0.17376338364556432
88,10,1,The Class,no,0.24813299532979727
